jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
rock-corpus_18.jams,Blueberry Hill,Bruce Cockburn,"Breakfast in New Orleans, Dinner in Timbuktu",37,101,2023,3e20d667-6c03-4065-beff-fe2981617bfb,GPHJP2300169,2390401175,https://www.deezer.com/track/2390401175,https://music.youtube.com/watch?v=1bPjFfdAL7w,,
rock-corpus_43.jams,Every Breath You Take,Scala & Kolacny Brothers,Winter Love,4,251,2002,151ad942-ba99-494a-bf3e-3f4a456a688c,GBAAM8300001,2525864,https://www.deezer.com/track/2525864,https://music.youtube.com/watch?v=-SaUrDhp034,,
rock-corpus_130.jams,Papa's Got A Brand New Bag,Otis Redding,The Best Ever Funk & Disco,6,126,2018,89b47213-85a4-4d10-9633-06c991ef9844,USF066500020,541625122,https://www.deezer.com/track/541625122,https://music.youtube.com/watch?v=qCYnCSfVJjw,,
rock-corpus_126.jams,Nuthin' But A G Thang,Dr. Dre,Anthems: Hip-Hop,5,237,2023,85fd26d3-c92f-40c1-8d9d-169ddc7ca1ab,USIR19200849,2132919007,https://www.deezer.com/track/2132919007,https://music.youtube.com/watch?v=i4B5VcoaS9s,,
rock-corpus_32.jams,Crazy,Indiana Gregg,Woman at Work,5,192,2022,fdeab161-8b8c-4c7b-bb65-0d49a08716c3,ITUM72101360,1625162972,https://www.deezer.com/track/1625162972,https://music.youtube.com/watch?v=vBtvhPM2GHc,,
rock-corpus_98.jams,Let It Be,The Beatles,Let It Be,14,53,2023,,AUBEC2322122,2296305715,https://www.deezer.com/track/2296305715,https://music.youtube.com/watch?v=QDYfEBY9NM4,,
rock-corpus_41.jams,Eleanor Rigby,The Beatles,1,16,125,2015,,GBUM71505894,116348622,https://www.deezer.com/track/116348622,https://music.youtube.com/watch?v=wbxTlxuECJA,,
rock-corpus_47.jams,Fast Car,David Usher,Morning Orbit,2,296,1988,4049868c-5155-48f4-8bbc-a20d38232194,USEE10180719,2271563,https://www.deezer.com/track/2271563,https://music.youtube.com/watch?v=IJ8i49EqgYI,,
rock-corpus_30.jams,Changes,Bobby Alu,Putumayo Presents: Australia,9,121,2023,d8ad7fd7-46e6-4a2a-9b0b-34a725da9266,USUG11800211,2461990455,https://www.deezer.com/track/2461990455,https://music.youtube.com/watch?v=xg3J5slvB-k,,
rock-corpus_182.jams,Waterloo Sunset,Ray Davies and Damon Albarn,This Is Where I Belong: The Songs of Ray Davies & The Kinks,10,90,2023,0f99a3c1-5742-41f8-998a-bd94f2f20401,TCAHM2315634,2474999491,https://www.deezer.com/track/2474999491,https://music.youtube.com/watch?v=SJ1BuKUCIC8,,
rock-corpus_193.jams,Won't Get Fooled Again,The Who,The Kids Are Alright,21,660,2023,61793f01-60ea-426a-9ece-bd71205ff756,ITDD82304621,2466535295,https://www.deezer.com/track/2466535295,https://music.youtube.com/watch?v=Jtb10ZwbReY,,
rock-corpus_161.jams,Superstition,Raven-Symoné,The Haunted Mansion: Haunted Hits,5,244,2018,f05ac36d-68f2-4da9-af4b-b4b840179768,USMO10000310,596034702,https://www.deezer.com/track/596034702,https://music.youtube.com/watch?v=ftdZ363R9kQ,,
rock-corpus_183.jams,What'd I Say,Herbie Mann,Push Push,18,389,2023,7bb79281-f3c0-4888-a1d0-11049a185260,FR8X02300616,2473100661,https://www.deezer.com/track/2473100661,https://music.youtube.com/watch?v=jBYq0AYTj-Y,,
rock-corpus_76.jams,I Heard It Through The Grapevine,Afro Blue,The Sing-Off: Season 3 - Current Hits & '60s Favorites,8,231,2023,a95e9271-7130-4b2a-a8c6-93ad3387f8ac,IT0412300754,2137037817,https://www.deezer.com/track/2137037817,https://music.youtube.com/watch?v=VWG3npfEoHo,,
rock-corpus_44.jams,Everyday People,Billy Paul,Ebony Woman,6,141,1969,15db1383-67b0-4f31-8db3-e3eeadd9fd60,USSM19913826,534508,https://www.deezer.com/track/534508,https://music.youtube.com/watch?v=TU02G4wnWh0,,
rock-corpus_111.jams,Love And Happiness,Living Colour,Biscuits,5,303,1975,ae42e4cc-48bc-48ff-9a15-c0558a2b8f62,US2HK0914205,141688205,https://www.deezer.com/track/141688205,https://music.youtube.com/watch?v=q8AMZmWqgRM,,
